benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCEPlugin	413613281995	599943048000	8056104000
IXGo	LLGoFullLTOGlobalDCE	412888330602	593650405000	7962466000
IXGo	LLGoFullLTONoGlobalDCE	405524227162	577254037000	7758391000
IXGo	LLGoNoLTO	131079048512	350246093000	7061076000
IXGo	LLGoDeadcodeDrop	129059529308	342315612000	7250440000
Etcdctl	LLGoFullLTOGlobalDCE	162847594642	269287117000	6148268000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	162484307862	268627031000	6238431000
Etcdctl	LLGoFullLTONoGlobalDCE	163177462548	267707441000	5893730000
Etcdctl	LLGoDeadcodeDrop	68897746037	201159010000	5689750000
Etcdctl	LLGoNoLTO	68954158265	200129185000	5404838000
XGo	LLGoFullLTOGlobalDCEPlugin	122590861275	168846484000	4282859000
XGo	LLGoFullLTONoGlobalDCE	123073962887	168430709000	4159079000
XGo	LLGoFullLTOGlobalDCE	122333310481	168212954000	4228592000
Aws_restjson	LLGoFullLTONoGlobalDCE	115273112244	145103296000	3214873000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	103901599180	134143536000	3167821000
Aws_restjson	LLGoFullLTOGlobalDCE	103344340612	132969126000	3165277000
Uber_zap	LLGoFullLTONoGlobalDCE	82838789751	104509579000	2658164000
XGo	LLGoDeadcodeDrop	40661458138	99494466000	3702048000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	81042035313	100370936000	2733266000
K8s_workqueue	LLGoFullLTOGlobalDCE	79545362919	98778336000	2710429000
K8s_workqueue	LLGoFullLTONoGlobalDCE	79739521556	98726713000	2643566000
XGo	LLGoNoLTO	39647810383	96660944000	3616852000
Uber_zap	LLGoFullLTOGlobalDCE	72828849986	94428700000	2764129000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	72296699867	94365934000	2692748000
Aws_restjson	LLGoDeadcodeDrop	39467919542	77476190000	2897976000
Aws_restjson	LLGoNoLTO	38649606533	75218458000	2915464000
Gorm_schema	LLGoFullLTONoGlobalDCE	45914941655	60885219000	1861795000
Gorm_schema	LLGoFullLTOGlobalDCE	44535698864	60219705000	2038799000
Uber_zap	LLGoDeadcodeDrop	25158391393	52685255000	2389069000
Uber_zap	LLGoNoLTO	25067815776	52400826000	2409854000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	34421149499	50291953000	1803817000
Toml	LLGoFullLTONoGlobalDCE	39722887226	48852863000	1658840000
K8s_workqueue	LLGoDeadcodeDrop	23460973433	46620460000	2303934000
K8s_workqueue	LLGoNoLTO	22928619032	45593381000	2226908000
Toml	LLGoFullLTOGlobalDCEPlugin	31759966982	41211905000	1523669000
Toml	LLGoFullLTOGlobalDCE	31694504326	41213097000	1483862000
IXGo	Go	12199946278	39352539000	3104662000
Gorm_schema	LLGoDeadcodeDrop	12812240507	34028852000	1816756000
Gorm_schema	LLGoNoLTO	12393844057	32775209000	1778359000
Dustin_humanize	LLGoFullLTONoGlobalDCE	26699517482	32100137000	1350874000
Etcdctl	Go	9583520979	29628133000	2086957000
Dustin_humanize	LLGoFullLTOGlobalDCE	17798542501	23407351000	1337240000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	17832573140	23414421000	1326953000
Toml	LLGoDeadcodeDrop	8474599003	20262655000	1456589000
Toml	LLGoNoLTO	8185707669	19937882000	1505832000
XGo	Go	5350438185	16882326000	1217334000
Dustin_humanize	LLGoDeadcodeDrop	5808563407	11690044000	1223774000
Dustin_humanize	LLGoNoLTO	5676518784	11654561000	1182705000
Aws_restjson	Go	3064185725	6864479000	687276000
Gorm_schema	Go	2065020330	5075507000	392524000
Uber_zap	Go	1984483591	4613433000	420225000
K8s_workqueue	Go	1593743523	3996852000	474505000
Toml	Go	899094295	1717993000	253200000
Dustin_humanize	Go	370982804	635207000	144950000
