benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCEPlugin	476257759645	683237201000	7492320000
IXGo	LLGoFullLTOGlobalDCE	461649786396	678271210000	7625070000
IXGo	LLGoFullLTONoGlobalDCE	432421412278	623077281000	7253782000
IXGo	LLGoDeadcodeDrop	138906418173	370011676000	6636692000
IXGo	LLGoNoLTO	133657617058	356114598000	6485080000
Etcdctl	LLGoFullLTOGlobalDCE	171628687245	288990384000	5666153000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	167865003090	283177947000	5695944000
Etcdctl	LLGoFullLTONoGlobalDCE	165875296862	278215169000	5469426000
Etcdctl	LLGoDeadcodeDrop	73536510424	215796669000	5077135000
Etcdctl	LLGoNoLTO	71458865481	210810012000	4875396000
XGo	LLGoFullLTOGlobalDCE	131215692876	183544702000	4163725000
XGo	LLGoFullLTONoGlobalDCE	130160882505	179686091000	4026640000
XGo	LLGoFullLTOGlobalDCEPlugin	126847503252	176301019000	3948494000
Aws_restjson	LLGoFullLTONoGlobalDCE	123868152909	156820107000	3089048000
Aws_restjson	LLGoFullLTOGlobalDCE	115442257542	148363126000	2949952000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	107489773088	140557938000	3012776000
Uber_zap	LLGoFullLTONoGlobalDCE	85999431673	109508448000	2559668000
K8s_workqueue	LLGoFullLTOGlobalDCE	84655958275	106090399000	2611273000
XGo	LLGoDeadcodeDrop	42775020284	104929869000	3514056000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	83009551621	104367227000	2637804000
XGo	LLGoNoLTO	42042238193	103172246000	3372060000
K8s_workqueue	LLGoFullLTONoGlobalDCE	83136697539	103556648000	2553321000
Uber_zap	LLGoFullLTOGlobalDCE	75219767961	99215874000	2609480000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	75138632260	99167927000	2546407000
Aws_restjson	LLGoDeadcodeDrop	41321065759	82772037000	2852230000
Aws_restjson	LLGoNoLTO	41338746107	81395990000	2837419000
Gorm_schema	LLGoFullLTONoGlobalDCE	47328223331	64247615000	1786627000
Gorm_schema	LLGoFullLTOGlobalDCE	46730214291	63837392000	1875330000
Uber_zap	LLGoDeadcodeDrop	26300205690	56424222000	2330702000
Uber_zap	LLGoNoLTO	26115260365	55909658000	2276673000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	36525136217	53862169000	1753130000
Toml	LLGoFullLTONoGlobalDCE	43285177864	53959914000	1593549000
K8s_workqueue	LLGoDeadcodeDrop	24318785519	48863313000	2312037000
K8s_workqueue	LLGoNoLTO	24051956806	48724733000	2312175000
Toml	LLGoFullLTOGlobalDCE	34027902838	44790441000	1496417000
IXGo	Go	13008050202	42436068000	3020593000
Toml	LLGoFullLTOGlobalDCEPlugin	33676680257	43967842000	1481023000
Gorm_schema	LLGoDeadcodeDrop	13722162472	36692581000	1804316000
Gorm_schema	LLGoNoLTO	13242576010	35769418000	1678832000
Dustin_humanize	LLGoFullLTONoGlobalDCE	27584473998	33553621000	1284870000
Etcdctl	Go	10187083908	31322949000	1992349000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	18587805293	24727155000	1262987000
Dustin_humanize	LLGoFullLTOGlobalDCE	18084699105	24180706000	1252415000
Toml	LLGoDeadcodeDrop	9105050212	22117311000	1375833000
Toml	LLGoNoLTO	8773194837	21443363000	1404829000
XGo	Go	5639029651	18046258000	1116838000
Dustin_humanize	LLGoNoLTO	5929970400	12466724000	1078923000
Dustin_humanize	LLGoDeadcodeDrop	6028315659	12388624000	1123209000
Aws_restjson	Go	3273077402	7294269000	678540000
Gorm_schema	Go	2156355250	5366717000	354554000
Uber_zap	Go	2042550187	4873479000	391956000
K8s_workqueue	Go	1686560120	4320161000	461086000
Toml	Go	912948196	1784127000	234093000
Dustin_humanize	Go	375156034	663555000	129111000
