benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCEPlugin	491694530587	682452769000	6577802000
IXGo	LLGoFullLTOGlobalDCE	434290496338	623764328000	6859285000
IXGo	LLGoFullLTONoGlobalDCE	403082905576	589113154000	6247255000
IXGo	LLGoDeadcodeDrop	125667740420	349609280000	5658274000
IXGo	LLGoNoLTO	123468475077	340541103000	5559314000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	166975386780	282930586000	4854580000
Etcdctl	LLGoFullLTOGlobalDCE	162600717455	276188138000	4591577000
Etcdctl	LLGoFullLTONoGlobalDCE	164209841702	275445208000	4596528000
Etcdctl	LLGoDeadcodeDrop	71403188716	213002391000	4123257000
Etcdctl	LLGoNoLTO	71331248771	210698127000	3967936000
XGo	LLGoFullLTONoGlobalDCE	126430131882	175077922000	3061738000
XGo	LLGoFullLTOGlobalDCEPlugin	122784036272	172023646000	3094091000
XGo	LLGoFullLTOGlobalDCE	122129123136	171451742000	3120584000
Aws_restjson	LLGoFullLTONoGlobalDCE	112917654571	144274347000	2045711000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	106975706106	140503296000	2119569000
Aws_restjson	LLGoFullLTOGlobalDCE	102781754711	135928377000	2186008000
Uber_zap	LLGoFullLTONoGlobalDCE	84668154958	108314597000	1678044000
XGo	LLGoDeadcodeDrop	41605381847	103903634000	2682662000
XGo	LLGoNoLTO	40586613197	101846231000	2570548000
K8s_workqueue	LLGoFullLTOGlobalDCE	79782415569	100594862000	1616313000
K8s_workqueue	LLGoFullLTONoGlobalDCE	79803487336	100107421000	1686949000
Uber_zap	LLGoFullLTOGlobalDCE	72946167244	96717046000	1660753000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	72458932862	96415096000	1596109000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	66343155614	87451814000	1598744000
Aws_restjson	LLGoDeadcodeDrop	38100702918	77831340000	1967873000
Aws_restjson	LLGoNoLTO	38174482314	76584928000	1813232000
Gorm_schema	LLGoFullLTOGlobalDCE	46733053303	64033811000	1211356000
Gorm_schema	LLGoFullLTONoGlobalDCE	45931139896	62748225000	1259625000
Uber_zap	LLGoDeadcodeDrop	25815548900	55594019000	1434695000
Uber_zap	LLGoNoLTO	24724156627	54055185000	1250293000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	35330800523	52416094000	1208880000
Toml	LLGoFullLTONoGlobalDCE	40990226398	51095149000	1033233000
K8s_workqueue	LLGoNoLTO	23498647057	48186502000	1405415000
K8s_workqueue	LLGoDeadcodeDrop	22972384606	47314287000	1332077000
IXGo	Go	12775547371	42176301000	2808111000
Toml	LLGoFullLTOGlobalDCEPlugin	32694657142	43060871000	913174000
Toml	LLGoFullLTOGlobalDCE	32680938363	42994378000	961493000
Gorm_schema	LLGoDeadcodeDrop	12677398310	35068577000	1046700000
Gorm_schema	LLGoNoLTO	12388285904	34547240000	1075818000
Etcdctl	Go	9970163672	31222627000	1970058000
Dustin_humanize	LLGoFullLTONoGlobalDCE	25764989127	31803282000	749923000
Dustin_humanize	LLGoFullLTOGlobalDCE	18371264587	24638104000	701003000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	17217974989	23302926000	677695000
Toml	LLGoDeadcodeDrop	8129120420	20824703000	825895000
Toml	LLGoNoLTO	8093487755	20592564000	887754000
XGo	Go	5557796689	17859116000	1118252000
Dustin_humanize	LLGoNoLTO	5286609114	11733957000	653106000
Dustin_humanize	LLGoDeadcodeDrop	5358408615	11653702000	598863000
Aws_restjson	Go	3204634843	7156385000	691240000
Gorm_schema	Go	2137773254	5326016000	376363000
Uber_zap	Go	2071994654	4946791000	417648000
K8s_workqueue	Go	1676065170	4317035000	451987000
Toml	Go	961968060	1864291000	234413000
Dustin_humanize	Go	368053319	655807000	131354000
