benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCE	431850226920	606576773000	5213009000
IXGo	LLGoFullLTONoGlobalDCE	425175815412	603737961000	5185470000
IXGo	LLGoFullLTOGlobalDCEPlugin	423712361272	595026406000	5343091000
IXGo	LLGoDeadcodeDrop	117257782209	347644912000	4643200000
IXGo	LLGoNoLTO	110698330631	333461426000	4146102000
Etcdctl	LLGoFullLTONoGlobalDCE	192814754543	293067912000	4203308000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	190339488869	292363333000	4083560000
Etcdctl	LLGoFullLTOGlobalDCE	190999649977	291992494000	4173160000
Etcdctl	LLGoDeadcodeDrop	85901266486	266980373000	3556088000
XGo	LLGoNoLTO	84461688635	249857622000	3759197000
XGo	LLGoFullLTOGlobalDCE	148502382859	198785577000	3397255000
XGo	LLGoFullLTOGlobalDCEPlugin	148012789879	196375000000	3246083000
K8s_workqueue	LLGoFullLTOGlobalDCE	122364252092	195342628000	3808222000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	116069051547	190921446000	3529535000
XGo	LLGoFullLTONoGlobalDCE	147580139556	186725865000	3110972000
Uber_zap	LLGoFullLTONoGlobalDCE	113860495660	158032282000	2630947000
Aws_restjson	LLGoFullLTONoGlobalDCE	127826940935	156509814000	2772764000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	110440079989	142975022000	2795728000
Aws_restjson	LLGoFullLTOGlobalDCE	110212606594	141440808000	2659059000
K8s_workqueue	LLGoFullLTONoGlobalDCE	98289756762	117036146000	2524888000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	96968630045	115812868000	2458720000
XGo	LLGoDeadcodeDrop	43746314314	114372486000	2633881000
Uber_zap	LLGoFullLTOGlobalDCE	87311640400	108429225000	2440921000
Toml	LLGoDeadcodeDrop	35208259611	101190245000	2285393000
Toml	LLGoFullLTONoGlobalDCE	64850349398	100901708000	2442501000
Etcdctl	LLGoNoLTO	40536711928	98602808000	3090472000
Aws_restjson	LLGoNoLTO	36345665675	74418767000	2428722000
Aws_restjson	LLGoDeadcodeDrop	36775400665	72917268000	2392495000
Gorm_schema	LLGoFullLTONoGlobalDCE	57481265035	71985880000	1592454000
Gorm_schema	LLGoFullLTOGlobalDCE	55773132277	70957604000	1615994000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	43796319266	58961489000	1632980000
Uber_zap	LLGoDeadcodeDrop	23432447513	50362903000	1994385000
Toml	LLGoFullLTOGlobalDCE	41202762838	50499387000	1327274000
Toml	LLGoFullLTOGlobalDCEPlugin	41002751046	50406705000	1385792000
K8s_workqueue	LLGoDeadcodeDrop	21888922866	44518930000	2197456000
Dustin_humanize	LLGoFullLTONoGlobalDCE	36564360802	42195808000	1257903000
Uber_zap	LLGoNoLTO	19007432380	34792009000	2012766000
K8s_workqueue	LLGoNoLTO	18716978886	33444115000	1996892000
Dustin_humanize	LLGoFullLTOGlobalDCE	25208411006	30957735000	1270898000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	25154018712	30862606000	1259847000
Gorm_schema	LLGoDeadcodeDrop	11036701144	30242030000	1377204000
Gorm_schema	LLGoNoLTO	10713265624	29499237000	1390470000
Toml	LLGoNoLTO	5471474175	12148157000	1240417000
Dustin_humanize	LLGoDeadcodeDrop	5327612938	11207782000	1119625000
Dustin_humanize	LLGoNoLTO	4574970878	10044622000	1097326000
IXGo	Go	1124926092	1732298000	241373000
Etcdctl	Go	988434075	1137170000	203691000
XGo	Go	756616719	906847000	167655000
Aws_restjson	Go	523483649	851358000	196145000
K8s_workqueue	Go	419293072	563716000	138218000
Uber_zap	Go	370278910	548788000	112566000
Gorm_schema	Go	286886972	458729000	77259000
Toml	Go	310165356	435274000	98171000
Dustin_humanize	Go	196256206	271193000	80743000
