benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCE	446058150716	645384810000	7783670000
IXGo	LLGoFullLTONoGlobalDCE	431651289984	624482869000	7381207000
IXGo	LLGoFullLTOGlobalDCEPlugin	406460899456	590333277000	7837235000
IXGo	LLGoDeadcodeDrop	132603376742	392745761000	6737530000
IXGo	LLGoNoLTO	119835419131	350829224000	6484770000
Etcdctl	LLGoFullLTONoGlobalDCE	196868298789	315348587000	5870092000
Etcdctl	LLGoFullLTOGlobalDCE	190896338531	314268263000	6069171000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	188935869772	308236543000	5586298000
Etcdctl	LLGoDeadcodeDrop	79828105952	233710922000	5435620000
Etcdctl	LLGoNoLTO	75259608985	220431886000	4963364000
XGo	LLGoFullLTONoGlobalDCE	159327714242	214643226000	4324048000
XGo	LLGoFullLTOGlobalDCE	142392206992	195138897000	4116646000
XGo	LLGoFullLTOGlobalDCEPlugin	141022438603	193018497000	4016226000
Aws_restjson	LLGoFullLTONoGlobalDCE	125878457116	159149493000	3131213000
Aws_restjson	LLGoFullLTOGlobalDCE	109674812089	144370539000	3164798000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	105361405817	140554492000	3221663000
Uber_zap	LLGoFullLTONoGlobalDCE	94941580396	118885911000	2536658000
XGo	LLGoDeadcodeDrop	45268571745	114881293000	3756440000
K8s_workqueue	LLGoFullLTONoGlobalDCE	92910568567	114060235000	2619733000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	91117559824	112325145000	2639938000
K8s_workqueue	LLGoFullLTOGlobalDCE	90908145995	112138679000	2608229000
XGo	LLGoNoLTO	42551831137	107937329000	3536744000
Uber_zap	LLGoFullLTOGlobalDCE	81706088766	106522705000	2475808000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	81435039261	105989793000	2557050000
Aws_restjson	LLGoDeadcodeDrop	39206521597	80939487000	2775327000
Aws_restjson	LLGoNoLTO	38484487719	79155607000	2904352000
Gorm_schema	LLGoFullLTONoGlobalDCE	54981383820	72515139000	1868589000
Gorm_schema	LLGoFullLTOGlobalDCE	53111561927	70973433000	1886165000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	43065830176	61820703000	1941411000
Toml	LLGoFullLTONoGlobalDCE	47565181184	57933895000	1547561000
Uber_zap	LLGoDeadcodeDrop	25747023930	56880544000	2407202000
Uber_zap	LLGoNoLTO	24946989802	55286769000	2286328000
K8s_workqueue	LLGoDeadcodeDrop	23157786747	48036461000	2240390000
K8s_workqueue	LLGoNoLTO	22734502827	47348634000	2231923000
Toml	LLGoFullLTOGlobalDCE	37252030225	48107297000	1433806000
Toml	LLGoFullLTOGlobalDCEPlugin	36997249497	47622223000	1500076000
IXGo	Go	13721694008	44678978000	3047772000
Dustin_humanize	LLGoFullLTONoGlobalDCE	32864885575	39093251000	1350545000
Gorm_schema	LLGoNoLTO	14140451453	38446658000	1715807000
Gorm_schema	LLGoDeadcodeDrop	13730257376	37858073000	1698121000
Etcdctl	Go	9976451321	31266656000	1949373000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	20619925327	26994453000	1340568000
Dustin_humanize	LLGoFullLTOGlobalDCE	20747911423	26954818000	1344070000
Toml	LLGoDeadcodeDrop	8978149420	21995003000	1388438000
Toml	LLGoNoLTO	8759558233	21563578000	1405906000
XGo	Go	5576959632	17768890000	1164899000
Dustin_humanize	LLGoDeadcodeDrop	6095222269	12758885000	1068216000
Dustin_humanize	LLGoNoLTO	6038490206	12548604000	1193781000
Aws_restjson	Go	3197092745	7262960000	661240000
Gorm_schema	Go	2171284761	5332600000	396372000
Uber_zap	Go	2170006588	5125154000	400495000
K8s_workqueue	Go	1659943998	4276962000	452537000
Toml	Go	921688273	1795321000	239151000
Dustin_humanize	Go	383607239	664622000	133533000
