benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCEPlugin	391047030481	602115543000	7270019000
IXGo	LLGoFullLTOGlobalDCE	389000473381	594555970000	7249454000
IXGo	LLGoFullLTONoGlobalDCE	385928836990	585701338000	6869359000
IXGo	LLGoDeadcodeDrop	126727484774	378281592000	6335292000
IXGo	LLGoNoLTO	125991734701	370612567000	5960316000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	156563501969	251188646000	5037394000
Etcdctl	LLGoFullLTOGlobalDCE	154987155107	247295381000	5087753000
Etcdctl	LLGoFullLTONoGlobalDCE	155946064494	246418286000	5104514000
Etcdctl	LLGoDeadcodeDrop	61995683118	180863471000	4400278000
Etcdctl	LLGoNoLTO	61812857715	180246158000	4141744000
XGo	LLGoFullLTONoGlobalDCE	122595236948	169211945000	3365935000
XGo	LLGoFullLTOGlobalDCE	121695288241	169002913000	3404046000
XGo	LLGoFullLTOGlobalDCEPlugin	120270463110	167746538000	3381926000
Aws_restjson	LLGoFullLTONoGlobalDCE	105259464939	137469829000	2580285000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	94811173337	127718669000	2357306000
Aws_restjson	LLGoFullLTOGlobalDCE	91993081104	125145427000	2341540000
Uber_zap	LLGoFullLTONoGlobalDCE	81261972700	103418875000	1837456000
XGo	LLGoDeadcodeDrop	39905505341	99978707000	2795924000
XGo	LLGoNoLTO	38578208430	98277769000	2906683000
K8s_workqueue	LLGoFullLTONoGlobalDCE	79368439729	98556933000	1772992000
K8s_workqueue	LLGoFullLTOGlobalDCE	78157801310	97384847000	1890705000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	71296690542	94737790000	1841391000
Uber_zap	LLGoFullLTOGlobalDCE	70565640691	92759013000	1700951000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	65546053891	85227555000	1857221000
Aws_restjson	LLGoNoLTO	38661427642	78137019000	2113632000
Aws_restjson	LLGoDeadcodeDrop	38319322926	77990281000	2167435000
Gorm_schema	LLGoFullLTOGlobalDCE	43861004219	60429991000	1472543000
Gorm_schema	LLGoFullLTONoGlobalDCE	44473650643	60445277000	1364269000
Uber_zap	LLGoDeadcodeDrop	24315835685	52938423000	1507826000
Uber_zap	LLGoNoLTO	24399039304	52033322000	1457922000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	33549952140	50634662000	1379434000
Toml	LLGoFullLTONoGlobalDCE	38979451326	48586338000	1170038000
K8s_workqueue	LLGoDeadcodeDrop	22095678119	45381137000	1548428000
K8s_workqueue	LLGoNoLTO	21738254536	44532960000	1544062000
Toml	LLGoFullLTOGlobalDCEPlugin	30977752392	41490684000	1226720000
IXGo	Go	12160775742	39123928000	3012081000
Toml	LLGoFullLTOGlobalDCE	31035780036	40886146000	1153395000
Gorm_schema	LLGoDeadcodeDrop	11761243224	34253742000	1245363000
Gorm_schema	LLGoNoLTO	11520555768	33761884000	1196445000
Dustin_humanize	LLGoFullLTONoGlobalDCE	26044553668	31959500000	934762000
Etcdctl	Go	9415801200	29439542000	2008374000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	17335923037	23584519000	889346000
Dustin_humanize	LLGoFullLTOGlobalDCE	17182113173	22920811000	849057000
Toml	LLGoDeadcodeDrop	7991787830	20668572000	992493000
Toml	LLGoNoLTO	7778668329	20070864000	1012713000
XGo	Go	5516783644	16813898000	1237279000
Dustin_humanize	LLGoNoLTO	5344623129	11833538000	836775000
Dustin_humanize	LLGoDeadcodeDrop	5403558324	11530067000	761048000
Aws_restjson	Go	3023148565	6735935000	741903000
Gorm_schema	Go	2090530818	5063673000	385242000
Uber_zap	Go	1959551670	4604677000	421943000
K8s_workqueue	Go	1589094465	3945954000	476030000
Toml	Go	896375055	1700766000	275475000
Dustin_humanize	Go	367817765	643872000	140790000
