benchmark	configuration	real-ns	user-ns	sys-ns
Aws_restjson	LLGoFullLTONoGlobalDCE	179721853761	190668750000	4378434000
Uber_zap	LLGoNoLTO	171352695625	168844752000	12902157000
Aws_restjson	LLGoFullLTOGlobalDCE	126356863484	136327291000	3364557000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	124514447644	134314653000	3237262000
Uber_zap	LLGoFullLTONoGlobalDCE	109539865778	118850271000	2924618000
K8s_workqueue	LLGoFullLTONoGlobalDCE	108382791927	112870968000	3097306000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	107882973095	119049920000	3384304000
Uber_zap	LLGoFullLTOGlobalDCE	106979177456	118661311000	3324531000
Gorm_schema	LLGoFullLTOGlobalDCE	104527301538	104380620000	4484299000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	98496705867	106201717000	2786269000
K8s_workqueue	LLGoFullLTOGlobalDCE	90737771593	101159756000	2629595000
Dustin_humanize	LLGoFullLTONoGlobalDCE	89269081216	87061411000	3814445000
Toml	LLGoFullLTOGlobalDCEPlugin	68947688330	72782509000	3678909000
Gorm_schema	LLGoFullLTONoGlobalDCE	67937329092	72130461000	2024600000
Toml	LLGoFullLTOGlobalDCE	62301936744	60842686000	2279209000
Aws_restjson	LLGoNoLTO	62104244611	74338498000	3964941000
Toml	LLGoFullLTONoGlobalDCE	51924039745	57095162000	1645050000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	48270507532	54488890000	1915434000
Dustin_humanize	LLGoFullLTOGlobalDCE	35819245941	36254197000	1601698000
K8s_workqueue	LLGoNoLTO	33414952933	36945164000	2950502000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	32152040126	34387031000	1418731000
Gorm_schema	LLGoNoLTO	32041735568	35970741000	2528426000
Toml	LLGoNoLTO	17493277172	21519861000	1760485000
Dustin_humanize	LLGoNoLTO	13027872617	13977351000	1386426000
Uber_zap	Go	774137644	775389000	221611000
Toml	Go	695771453	524612000	119612000
Gorm_schema	Go	650573634	581951000	105224000
K8s_workqueue	Go	531296761	646274000	151673000
Aws_restjson	Go	463062566	683800000	144362000
Dustin_humanize	Go	441943733	362364000	81286000
