benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCEPlugin	462822546029	694523832000	6573599000
IXGo	LLGoFullLTONoGlobalDCE	460596608563	672762242000	6297680000
IXGo	LLGoFullLTOGlobalDCE	434454385203	615132925000	5382718000
IXGo	LLGoNoLTO	115794986297	355777150000	4149893000
IXGo	LLGoDeadcodeDrop	113344110186	347392982000	4549852000
Etcdctl	LLGoFullLTONoGlobalDCE	192928348152	290978043000	3872915000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	190008829556	289998943000	4275213000
Etcdctl	LLGoFullLTOGlobalDCE	189668127038	289073730000	4165702000
XGo	LLGoFullLTOGlobalDCE	173964583816	273606454000	4299736000
Etcdctl	LLGoDeadcodeDrop	68159266148	195215878000	3479243000
Etcdctl	LLGoNoLTO	66718353500	190393374000	3340117000
K8s_workqueue	LLGoDeadcodeDrop	66873603217	189461656000	3418481000
XGo	LLGoFullLTONoGlobalDCE	148162152526	187435302000	3260248000
XGo	LLGoFullLTOGlobalDCEPlugin	144490509580	184089774000	3210701000
Aws_restjson	LLGoFullLTONoGlobalDCE	126177474852	155260756000	2766168000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	110919949248	142102130000	2852418000
Aws_restjson	LLGoFullLTOGlobalDCE	110184095250	140489693000	2733325000
Uber_zap	LLGoFullLTONoGlobalDCE	101414156063	123183065000	2501373000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	98081778354	116635516000	2451725000
K8s_workqueue	LLGoFullLTONoGlobalDCE	98467995524	116588463000	2388693000
K8s_workqueue	LLGoFullLTOGlobalDCE	97650658060	116060424000	2590795000
Uber_zap	LLGoFullLTOGlobalDCE	91208246179	112549246000	2554499000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	87920040385	109671553000	2405229000
XGo	LLGoDeadcodeDrop	38063087508	91995165000	2545183000
XGo	LLGoNoLTO	37312392888	90466313000	2484034000
Aws_restjson	LLGoDeadcodeDrop	37860196846	79075715000	2323064000
Gorm_schema	LLGoFullLTOGlobalDCE	55907249948	71612764000	1662229000
Gorm_schema	LLGoFullLTONoGlobalDCE	57326362083	70799949000	1596820000
Toml	LLGoFullLTONoGlobalDCE	51437488818	60379012000	1500029000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	43197739365	59111120000	1541248000
Toml	LLGoFullLTOGlobalDCE	41981198372	54394856000	1441385000
Uber_zap	LLGoDeadcodeDrop	23603271244	51023043000	2122133000
Toml	LLGoFullLTOGlobalDCEPlugin	41075153341	50296321000	1439388000
Dustin_humanize	LLGoFullLTONoGlobalDCE	37985124352	43715252000	1318705000
Aws_restjson	LLGoNoLTO	20052166947	37670906000	2120873000
Uber_zap	LLGoNoLTO	19021004651	34469357000	1990715000
K8s_workqueue	LLGoNoLTO	18815844650	33808645000	1906779000
Dustin_humanize	LLGoFullLTOGlobalDCE	26305762247	32271525000	1333277000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	24944560360	30707644000	1288571000
Gorm_schema	LLGoDeadcodeDrop	11164347113	30499198000	1460358000
Gorm_schema	LLGoNoLTO	10803198629	29378814000	1365177000
Toml	LLGoNoLTO	8207599309	19835608000	1261542000
Toml	LLGoDeadcodeDrop	8366833511	19729601000	1335987000
Dustin_humanize	LLGoDeadcodeDrop	5351552205	11210874000	1176218000
Dustin_humanize	LLGoNoLTO	5280140596	10989876000	1151870000
IXGo	Go	1113776035	1726370000	237698000
Etcdctl	Go	840994377	1297752000	250733000
XGo	Go	612442115	937164000	151784000
Aws_restjson	Go	441557523	678171000	135755000
K8s_workqueue	Go	372703276	569670000	113740000
Uber_zap	Go	370170568	544990000	118176000
Gorm_schema	Go	299208992	467076000	94493000
Toml	Go	282529406	415191000	96975000
Dustin_humanize	Go	225688192	311818000	68647000
