benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCE	482577616569	721072778000	6735270000
IXGo	LLGoFullLTOGlobalDCEPlugin	480096923446	717448464000	6726933000
IXGo	LLGoFullLTONoGlobalDCE	490663962175	715140769000	6517301000
IXGo	LLGoDeadcodeDrop	144531872454	423052240000	5868664000
IXGo	LLGoNoLTO	141825268253	410574733000	6027460000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	168890244528	273703989000	4831661000
Etcdctl	LLGoFullLTOGlobalDCE	165896776240	270144848000	4933589000
Etcdctl	LLGoFullLTONoGlobalDCE	167715610118	269625643000	4862443000
Etcdctl	LLGoDeadcodeDrop	68176404481	201888376000	4192335000
Etcdctl	LLGoNoLTO	66825850480	197892436000	4077818000
XGo	LLGoFullLTONoGlobalDCE	130871930801	183396454000	3346970000
XGo	LLGoFullLTOGlobalDCEPlugin	128050793819	180970654000	3253940000
XGo	LLGoFullLTOGlobalDCE	127119103431	179980655000	3297755000
Aws_restjson	LLGoFullLTONoGlobalDCE	114572431056	150535319000	2375195000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	102216176106	139621710000	2336626000
Aws_restjson	LLGoFullLTOGlobalDCE	101973285818	138473520000	2336188000
Uber_zap	LLGoFullLTONoGlobalDCE	86421490966	110992241000	1705779000
XGo	LLGoDeadcodeDrop	42259466549	108984811000	2801617000
XGo	LLGoNoLTO	41764117472	108255832000	2799802000
K8s_workqueue	LLGoFullLTOGlobalDCE	84404678680	106655755000	1797271000
K8s_workqueue	LLGoFullLTONoGlobalDCE	85266165494	106545217000	1839819000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	76052080253	102064977000	1718856000
Uber_zap	LLGoFullLTOGlobalDCE	76101504006	101270466000	1731593000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	72195120744	94711710000	1767846000
Aws_restjson	LLGoDeadcodeDrop	41186446963	85134616000	2107309000
Aws_restjson	LLGoNoLTO	40552145906	84604562000	2037693000
Gorm_schema	LLGoFullLTONoGlobalDCE	47861694630	66510335000	1383552000
Gorm_schema	LLGoFullLTOGlobalDCE	47484125352	66448144000	1413686000
Uber_zap	LLGoDeadcodeDrop	26604176133	57753395000	1608726000
Uber_zap	LLGoNoLTO	25453160527	56988959000	1531364000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	37304718213	56527715000	1383423000
Toml	LLGoFullLTONoGlobalDCE	42915701912	53998717000	1186812000
K8s_workqueue	LLGoDeadcodeDrop	23384412065	49544457000	1451210000
K8s_workqueue	LLGoNoLTO	23192949165	48950291000	1527880000
Toml	LLGoFullLTOGlobalDCEPlugin	34794093899	46740034000	1106987000
IXGo	Go	13281964987	43615840000	2995137000
Toml	LLGoFullLTOGlobalDCE	34296663332	45313022000	1059583000
Gorm_schema	LLGoDeadcodeDrop	12971772906	38224094000	1218668000
Gorm_schema	LLGoNoLTO	12627031865	37816188000	1275661000
Dustin_humanize	LLGoFullLTONoGlobalDCE	27612469943	34509540000	905858000
Etcdctl	Go	10295192118	32115606000	2002950000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	18677455925	25882683000	842247000
Dustin_humanize	LLGoFullLTOGlobalDCE	18378153947	24964179000	849139000
Toml	LLGoNoLTO	8600093318	22472135000	994005000
Toml	LLGoDeadcodeDrop	8680177554	22322385000	1042494000
XGo	Go	5660820789	18203387000	1236243000
Dustin_humanize	LLGoDeadcodeDrop	5831177137	12834709000	761082000
Dustin_humanize	LLGoNoLTO	5816320668	12737438000	816103000
Aws_restjson	Go	3229200512	7343619000	650081000
Gorm_schema	Go	2250408408	5478915000	384497000
Uber_zap	Go	2136396249	5005668000	439574000
K8s_workqueue	Go	1668265558	4275443000	475487000
Toml	Go	921929640	1814886000	236673000
Dustin_humanize	Go	394006948	683206000	145086000
