benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCEPlugin	304933528582	504016364000	9090011000
Etcdctl	LLGoDeadcodeDrop	117627948604	389751327000	6622829000
Etcdctl	LLGoFullLTONoGlobalDCE	236415860391	383434578000	4461788000
IXGo	LLGoFullLTOGlobalDCE	268383847821	372340252000	5633866000
IXGo	LLGoFullLTONoGlobalDCE	264214990702	366008343000	5362406000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	208159670268	312533666000	4290847000
Etcdctl	LLGoFullLTOGlobalDCE	203644319128	307724484000	4073910000
IXGo	LLGoNoLTO	85988013054	268863727000	4904305000
IXGo	LLGoDeadcodeDrop	83152136840	257244066000	5070160000
Uber_zap	LLGoFullLTOGlobalDCE	113687449357	201067577000	4954415000
XGo	LLGoFullLTOGlobalDCE	141112572674	191856084000	3341956000
XGo	LLGoFullLTONoGlobalDCE	137278349268	184910207000	3095642000
XGo	LLGoFullLTOGlobalDCEPlugin	130649872980	163029023000	3023278000
Aws_restjson	LLGoFullLTONoGlobalDCE	111738962062	141033210000	2794151000
XGo	LLGoNoLTO	41879957485	129661570000	3750531000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	100032496919	128945655000	2795379000
Aws_restjson	LLGoFullLTOGlobalDCE	93612974060	124393594000	2743009000
Uber_zap	LLGoFullLTONoGlobalDCE	87739205097	108032356000	2550963000
K8s_workqueue	LLGoFullLTOGlobalDCE	84512206088	102056912000	2693799000
XGo	LLGoDeadcodeDrop	33266869913	101907251000	2686055000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	80679050850	96432070000	2296489000
K8s_workqueue	LLGoFullLTONoGlobalDCE	80157125228	95604983000	2416923000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	70004674949	91214271000	2346250000
Etcdctl	LLGoNoLTO	30448997378	85483959000	2996696000
Aws_restjson	LLGoDeadcodeDrop	29828349002	73612141000	2787740000
Dustin_humanize	LLGoFullLTONoGlobalDCE	50981133961	73867073000	2051484000
Gorm_schema	LLGoFullLTONoGlobalDCE	54032904377	72955299000	1815146000
Gorm_schema	LLGoFullLTOGlobalDCE	50165415349	64700463000	1629100000
Toml	LLGoFullLTONoGlobalDCE	44413583915	53825276000	1453873000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	37554719793	51764771000	1571925000
Toml	LLGoFullLTOGlobalDCE	35883156123	45635109000	1415733000
Toml	LLGoFullLTOGlobalDCEPlugin	36046178098	45560442000	1387204000
Uber_zap	LLGoDeadcodeDrop	14486058820	42003144000	2192948000
IXGo	Go	11313450771	36580393000	2353391000
Gorm_schema	LLGoDeadcodeDrop	11511064769	34990253000	1462800000
Dustin_humanize	LLGoFullLTOGlobalDCE	27815375872	33990819000	1346077000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	26476036591	33484537000	1307781000
Toml	LLGoNoLTO	10283864516	30070952000	1439372000
Aws_restjson	LLGoNoLTO	10736621208	28342809000	2013760000
Toml	LLGoDeadcodeDrop	9936545666	28630938000	1358691000
K8s_workqueue	LLGoDeadcodeDrop	10389846957	27948378000	2005381000
K8s_workqueue	LLGoNoLTO	10229898121	27803156000	1977913000
Uber_zap	LLGoNoLTO	9821402342	25330068000	2081610000
Etcdctl	Go	6097702056	17088519000	950569000
Gorm_schema	LLGoNoLTO	5908177355	14681079000	1385207000
Dustin_humanize	LLGoDeadcodeDrop	5028561737	11160237000	1196161000
Dustin_humanize	LLGoNoLTO	4434932014	10350696000	1139112000
XGo	Go	2465089603	6073038000	381615000
Aws_restjson	Go	1974529868	4738985000	403162000
Gorm_schema	Go	1512050188	3300212000	195097000
Uber_zap	Go	1409178897	2925403000	218776000
K8s_workqueue	Go	812760370	1625699000	183606000
Dustin_humanize	Go	324546441	571961000	83058000
Toml	Go	323930427	456659000	104714000
