benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTONoGlobalDCE	368888500699	403433673000	7919399000
IXGo	LLGoFullLTOGlobalDCE	311682872413	338959537000	5079195000
IXGo	LLGoNoLTO	278673685433	311370565000	7560120000
IXGo	LLGoFullLTOGlobalDCEPlugin	277312069429	299553893000	4213662000
Etcdctl	LLGoFullLTOGlobalDCE	206299367186	224623637000	2903312000
Etcdctl	LLGoFullLTONoGlobalDCE	197577918920	218756413000	2987019000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	192293837590	215578024000	2911296000
Etcdctl	LLGoDeadcodeDrop	149401676830	182057637000	4250021000
IXGo	LLGoDeadcodeDrop	147448757610	170918777000	3391099000
XGo	LLGoFullLTOGlobalDCEPlugin	144775059265	153172994000	2749109000
XGo	LLGoFullLTOGlobalDCE	126348366892	137249842000	2470393000
XGo	LLGoFullLTONoGlobalDCE	113250571470	130982094000	2391005000
Aws_restjson	LLGoFullLTONoGlobalDCE	106887376256	114879792000	2164793000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	94106114652	102855958000	2155308000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	104488120401	101088794000	2195045000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	97898567892	97452150000	2244064000
Aws_restjson	LLGoFullLTOGlobalDCE	83879442076	95437690000	2072284000
K8s_workqueue	LLGoFullLTONoGlobalDCE	83998192473	86279897000	2051775000
Uber_zap	LLGoFullLTONoGlobalDCE	73733779604	84203924000	2026544000
Uber_zap	LLGoFullLTOGlobalDCE	74898015092	78903298000	2123553000
Toml	LLGoFullLTOGlobalDCEPlugin	94358322060	75526617000	2523288000
XGo	LLGoDeadcodeDrop	57599503668	74884115000	2050458000
K8s_workqueue	LLGoFullLTOGlobalDCE	66252371093	75132901000	1780653000
Etcdctl	LLGoNoLTO	51421039161	68776111000	2428603000
XGo	LLGoNoLTO	40385398822	60176588000	2498513000
Gorm_schema	LLGoFullLTOGlobalDCE	63626073403	60607745000	1370854000
Aws_restjson	LLGoDeadcodeDrop	48749062860	52412698000	1800108000
Gorm_schema	LLGoFullLTONoGlobalDCE	48768917154	51891209000	1305602000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	52276388394	51412281000	1469362000
Aws_restjson	LLGoNoLTO	39493694908	50370792000	2042532000
Dustin_humanize	LLGoDeadcodeDrop	51982531469	44733384000	1648280000
Toml	LLGoFullLTONoGlobalDCE	38917521006	41504606000	1229798000
Toml	LLGoFullLTOGlobalDCE	41621345092	40497034000	1248099000
Uber_zap	LLGoNoLTO	32816490418	35359226000	1783200000
Dustin_humanize	LLGoFullLTONoGlobalDCE	30384349841	33654588000	998425000
Dustin_humanize	LLGoFullLTOGlobalDCE	35027170465	32716262000	1141543000
K8s_workqueue	LLGoNoLTO	31999146671	30969628000	1907942000
Uber_zap	LLGoDeadcodeDrop	21952730139	30596723000	1635575000
IXGo	Go	19381965691	29004865000	2011709000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	27075867652	28148150000	1137638000
Gorm_schema	LLGoNoLTO	31798729355	26696659000	1341080000
K8s_workqueue	LLGoDeadcodeDrop	15419059414	23400025000	1666408000
Gorm_schema	LLGoDeadcodeDrop	17325545398	20984321000	1156026000
Toml	LLGoDeadcodeDrop	11516050950	14727238000	1034326000
Toml	LLGoNoLTO	12755545190	12310552000	1004427000
Etcdctl	Go	6108532511	12596640000	698338000
Dustin_humanize	LLGoNoLTO	11907699057	10069914000	985061000
Aws_restjson	Go	11584163031	6825926000	619267000
XGo	Go	6258265090	5388169000	401261000
Gorm_schema	Go	11009575747	5039527000	358464000
Uber_zap	Go	2436622066	4162475000	304309000
K8s_workqueue	Go	1355732086	1518148000	150400000
Dustin_humanize	Go	673845026	533828000	81902000
Toml	Go	698471958	491012000	97504000
