benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCEPlugin	606623310648	828330048000	5673301000
IXGo	LLGoFullLTOGlobalDCE	561448666161	764526224000	5662945000
IXGo	LLGoFullLTONoGlobalDCE	444180666074	682699369000	6410240000
IXGo	LLGoDeadcodeDrop	134663139880	432290965000	5092524000
Etcdctl	LLGoFullLTONoGlobalDCE	213884438470	315707737000	4364152000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	196415716747	298140233000	4371141000
Etcdctl	LLGoFullLTOGlobalDCE	187774317323	288860022000	4092297000
XGo	LLGoFullLTOGlobalDCEPlugin	162736518427	213647416000	3273844000
XGo	LLGoFullLTOGlobalDCE	146434246237	194255448000	3390012000
Etcdctl	LLGoDeadcodeDrop	67376659777	194089716000	3260160000
Uber_zap	LLGoNoLTO	66329801127	193618626000	3401155000
Uber_zap	LLGoFullLTOGlobalDCE	110184931528	186950947000	3565934000
XGo	LLGoFullLTONoGlobalDCE	143896288991	182415721000	3117614000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	109980737064	162330520000	3072083000
Aws_restjson	LLGoFullLTONoGlobalDCE	124658155628	153763223000	2693254000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	117656148084	149744999000	2890596000
Aws_restjson	LLGoFullLTOGlobalDCE	107256944634	139964650000	2793212000
Uber_zap	LLGoFullLTONoGlobalDCE	110316670667	132763963000	2690130000
K8s_workqueue	LLGoFullLTOGlobalDCE	101286286014	119712102000	2618891000
K8s_workqueue	LLGoFullLTONoGlobalDCE	97239274121	116290001000	2422207000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	90111022118	111267238000	2604963000
Gorm_schema	LLGoDeadcodeDrop	35497291515	100328268000	2172430000
Etcdctl	LLGoNoLTO	39758528210	96996137000	2963316000
XGo	LLGoDeadcodeDrop	38061784170	91947084000	2617810000
XGo	LLGoNoLTO	37274810868	90326193000	2494016000
IXGo	LLGoNoLTO	34995885707	78973107000	4054553000
Aws_restjson	LLGoDeadcodeDrop	39737441344	77710952000	2571742000
Gorm_schema	LLGoFullLTONoGlobalDCE	58395978477	72221955000	1659024000
Gorm_schema	LLGoFullLTOGlobalDCE	55438108110	71124643000	1609116000
Toml	LLGoFullLTONoGlobalDCE	58265752203	67822079000	1640577000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	48616418982	63470106000	1692198000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	36962380053	61060534000	1827406000
Toml	LLGoFullLTOGlobalDCEPlugin	42338841721	51579009000	1449677000
Uber_zap	LLGoDeadcodeDrop	23296162459	50014995000	2086338000
Toml	LLGoFullLTOGlobalDCE	40220184758	49591676000	1433911000
K8s_workqueue	LLGoNoLTO	22184681930	44658235000	2259469000
K8s_workqueue	LLGoDeadcodeDrop	21718499673	43274295000	2097174000
Dustin_humanize	LLGoFullLTONoGlobalDCE	35880930844	41516810000	1252375000
Aws_restjson	LLGoNoLTO	19995743786	37664981000	2013471000
Dustin_humanize	LLGoFullLTOGlobalDCE	24636669440	30314755000	1246467000
Toml	LLGoDeadcodeDrop	8506732172	19854651000	1367478000
Toml	LLGoNoLTO	8240808863	19606425000	1322373000
Gorm_schema	LLGoNoLTO	6743646987	14810227000	1403735000
Dustin_humanize	LLGoNoLTO	5665439512	11737728000	1216253000
Dustin_humanize	LLGoDeadcodeDrop	5422160698	11355282000	1136334000
IXGo	Go	1152509866	1885036000	315494000
Etcdctl	Go	1058757206	1281563000	223986000
XGo	Go	785425103	967899000	209208000
Aws_restjson	Go	439522951	674895000	128674000
Uber_zap	Go	457075054	639254000	139579000
K8s_workqueue	Go	373665423	577121000	111184000
Toml	Go	348647028	497247000	106261000
Gorm_schema	Go	276974438	421055000	84991000
Dustin_humanize	Go	207907710	295077000	79118000
