benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCE	478053254372	515025697000	8386758000
Etcdctl	LLGoFullLTOGlobalDCE	414975727962	439854837000	6636135000
IXGo	LLGoFullLTONoGlobalDCE	385279846119	404095528000	4534681000
IXGo	LLGoFullLTOGlobalDCEPlugin	354223451790	390010263000	4554239000
Etcdctl	LLGoFullLTONoGlobalDCE	401815874312	386130880000	6503426000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	401274212889	384991898000	6879679000
IXGo	LLGoDeadcodeDrop	317264682050	316067964000	8001881000
IXGo	LLGoNoLTO	196705550163	239399250000	3438091000
XGo	LLGoFullLTOGlobalDCEPlugin	184253468486	210993274000	2919139000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	224624122146	197920106000	7653632000
Aws_restjson	LLGoFullLTONoGlobalDCE	193230702316	201466921000	3320128000
Uber_zap	LLGoDeadcodeDrop	214312770151	196545903000	4110560000
XGo	LLGoFullLTONoGlobalDCE	169635442840	186693248000	2584140000
XGo	LLGoFullLTOGlobalDCE	160900021339	183077255000	3184136000
Etcdctl	LLGoDeadcodeDrop	122414639854	158440246000	2617915000
K8s_workqueue	LLGoFullLTONoGlobalDCE	144475340762	132038953000	2316515000
Aws_restjson	LLGoFullLTOGlobalDCE	117087768487	129140194000	2125595000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	127220685364	118440533000	2161491000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	143216190445	117209206000	2711337000
Uber_zap	LLGoFullLTONoGlobalDCE	91728701317	107222146000	1956402000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	88245307768	98259313000	1992179000
Etcdctl	LLGoNoLTO	83436571915	96312109000	3257864000
K8s_workqueue	LLGoFullLTOGlobalDCE	83657899479	96391756000	1852180000
Uber_zap	LLGoFullLTOGlobalDCE	80649240904	93059041000	1902264000
XGo	LLGoDeadcodeDrop	65062216618	92755427000	2048663000
Gorm_schema	LLGoFullLTONoGlobalDCE	71582482319	71825015000	1374537000
Aws_restjson	LLGoDeadcodeDrop	50142187054	66237401000	1853110000
Gorm_schema	LLGoFullLTOGlobalDCE	55400606501	62265823000	1275632000
XGo	LLGoNoLTO	37798392573	58569806000	2020388000
Toml	LLGoFullLTONoGlobalDCE	56648645602	57453212000	1251449000
Toml	LLGoFullLTOGlobalDCEPlugin	51828743488	50450601000	1405983000
Toml	LLGoFullLTOGlobalDCE	37198233115	44596834000	1079607000
Dustin_humanize	LLGoFullLTONoGlobalDCE	35577475211	41570018000	966571000
Aws_restjson	LLGoNoLTO	21352692579	36659120000	1784144000
Uber_zap	LLGoNoLTO	27701632260	35805735000	1802543000
K8s_workqueue	LLGoDeadcodeDrop	24528893039	34317234000	1890984000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	31583054588	34501042000	1094525000
K8s_workqueue	LLGoNoLTO	26589003844	32273377000	1858631000
IXGo	Go	10063729401	31424053000	2189436000
Dustin_humanize	LLGoFullLTOGlobalDCE	26600765937	32362436000	1023462000
Gorm_schema	LLGoDeadcodeDrop	23755688816	30399253000	1120062000
Gorm_schema	LLGoNoLTO	19708318990	28517616000	1088381000
Toml	LLGoDeadcodeDrop	14577885902	20383055000	1089308000
Etcdctl	Go	15557387954	17634174000	912748000
Toml	LLGoNoLTO	15068467946	16571858000	1071282000
Dustin_humanize	LLGoDeadcodeDrop	13799233014	14185911000	982368000
Dustin_humanize	LLGoNoLTO	13779401997	13162112000	1022345000
XGo	Go	3369642016	8258362000	491583000
Aws_restjson	Go	6427691181	5339193000	414490000
Gorm_schema	Go	2795765127	3690829000	201131000
Uber_zap	Go	7684533941	3481866000	250795000
Toml	Go	2869883606	2083452000	316452000
K8s_workqueue	Go	1526679284	1877781000	156229000
Dustin_humanize	Go	942447605	707197000	80059000
