benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTONoGlobalDCE	282443205246	402805357000	5008195000
IXGo	LLGoFullLTOGlobalDCEPlugin	283488446182	402529646000	5154964000
IXGo	LLGoFullLTOGlobalDCE	281216351774	394099984000	5155245000
IXGo	LLGoDeadcodeDrop	90109071197	265344111000	4705844000
Etcdctl	LLGoFullLTOGlobalDCE	174840836172	263804594000	3798656000
Etcdctl	LLGoFullLTONoGlobalDCE	176602333646	262686472000	3690028000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	172049863838	260393012000	3715638000
XGo	LLGoFullLTOGlobalDCE	154709786092	242642657000	3919977000
Aws_restjson	LLGoDeadcodeDrop	62517319722	200654524000	3250076000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	114681813090	199918504000	3303956000
Etcdctl	LLGoDeadcodeDrop	56132022116	171373677000	3104366000
K8s_workqueue	LLGoFullLTONoGlobalDCE	106078739830	166983808000	3155591000
XGo	LLGoFullLTONoGlobalDCE	131540050641	166209016000	2794441000
XGo	LLGoFullLTOGlobalDCEPlugin	129692506139	166106525000	2707280000
Aws_restjson	LLGoFullLTONoGlobalDCE	113027115966	141374725000	2448126000
Aws_restjson	LLGoFullLTOGlobalDCE	95478416768	120959985000	2192378000
Uber_zap	LLGoFullLTONoGlobalDCE	86166555583	104776886000	2106451000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	82196543679	98359898000	2183625000
K8s_workqueue	LLGoFullLTOGlobalDCE	81028514219	97641404000	2114847000
XGo	LLGoDeadcodeDrop	32942887180	96145436000	2478721000
XGo	LLGoNoLTO	31644725381	93350266000	2214320000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	71735586741	90495483000	2083294000
Uber_zap	LLGoFullLTOGlobalDCE	72083509147	89918200000	2100739000
Etcdctl	LLGoNoLTO	30097532638	81491423000	2679003000
IXGo	LLGoNoLTO	24407213962	62616818000	3062216000
Gorm_schema	LLGoFullLTONoGlobalDCE	48757029655	62284814000	1323743000
Gorm_schema	LLGoFullLTOGlobalDCE	46258914598	59979739000	1374409000
Toml	LLGoFullLTONoGlobalDCE	43721753707	52056612000	1196682000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	35907357199	50689742000	1307463000
Toml	LLGoFullLTOGlobalDCE	34301845654	45593115000	1165282000
Toml	LLGoFullLTOGlobalDCEPlugin	33697689993	42220544000	1177148000
Dustin_humanize	LLGoFullLTONoGlobalDCE	34243567634	39407967000	1072424000
Uber_zap	LLGoDeadcodeDrop	13829585103	37463395000	1721287000
K8s_workqueue	LLGoDeadcodeDrop	12640486570	33227421000	1834080000
K8s_workqueue	LLGoNoLTO	12106268906	31263119000	1737538000
Gorm_schema	LLGoDeadcodeDrop	10921723685	30848949000	1220954000
Gorm_schema	LLGoNoLTO	10826356548	30465836000	1237962000
Dustin_humanize	LLGoFullLTOGlobalDCE	23644233225	29176069000	1078518000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	23274581201	28850046000	990089000
Aws_restjson	LLGoNoLTO	10983375654	26623912000	1711011000
Uber_zap	LLGoNoLTO	10100218959	23776607000	1673035000
Toml	LLGoDeadcodeDrop	7680284226	18504073000	1040748000
Toml	LLGoNoLTO	5172685194	11467316000	1060852000
Dustin_humanize	LLGoDeadcodeDrop	4960287785	10393289000	939596000
Dustin_humanize	LLGoNoLTO	4386639303	9444604000	1000791000
IXGo	Go	2338822658	1730298000	264239000
Etcdctl	Go	1111406035	1155958000	158418000
XGo	Go	1422428219	930458000	166872000
Aws_restjson	Go	450006514	717372000	110264000
K8s_workqueue	Go	453375079	570003000	95843000
Uber_zap	Go	376811196	559254000	99197000
Toml	Go	295660453	446957000	69851000
Gorm_schema	Go	283745110	447951000	68341000
Dustin_humanize	Go	244053799	402822000	90429000
