benchmark	configuration	real-ns	user-ns	sys-ns
Etcdctl	LLGoFullLTOGlobalDCEPlugin	234378987392	412413796000	6723211000
Etcdctl	LLGoFullLTONoGlobalDCE	226474505450	380289475000	5067164000
Etcdctl	LLGoFullLTOGlobalDCE	209618914080	313974276000	4287386000
Aws_restjson	LLGoDeadcodeDrop	66406973300	214350220000	4090637000
Etcdctl	LLGoDeadcodeDrop	60559235957	203656483000	3495468000
XGo	LLGoFullLTOGlobalDCEPlugin	136955732921	186584719000	3138557000
XGo	LLGoFullLTONoGlobalDCE	134797332153	180753684000	3131880000
XGo	LLGoFullLTOGlobalDCE	130495822678	163300855000	3158803000
Aws_restjson	LLGoFullLTONoGlobalDCE	109483949136	140277708000	2779568000
Aws_restjson	LLGoFullLTOGlobalDCE	100334305703	129338193000	2683691000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	97277214718	127077547000	2727875000
XGo	LLGoDeadcodeDrop	37054115584	114316060000	3104045000
Uber_zap	LLGoFullLTONoGlobalDCE	88075376167	109418919000	2486334000
K8s_workqueue	LLGoFullLTONoGlobalDCE	83204873867	98948154000	2609591000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	82405626201	98566860000	2615718000
K8s_workqueue	LLGoFullLTOGlobalDCE	81455480641	98277141000	2603192000
Uber_zap	LLGoFullLTOGlobalDCE	70012325773	94343721000	2753984000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	70544061753	92589682000	2624586000
Toml	LLGoFullLTOGlobalDCE	54240763933	89756999000	2949093000
Etcdctl	LLGoNoLTO	30797492836	86279486000	3083340000
Gorm_schema	LLGoFullLTONoGlobalDCE	53784484654	69945378000	1704291000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	40931610270	63748815000	1859864000
Gorm_schema	LLGoFullLTOGlobalDCE	49383592103	63679777000	1633965000
Toml	LLGoFullLTONoGlobalDCE	45271351768	57679490000	1464558000
Toml	LLGoFullLTOGlobalDCEPlugin	36950464342	46822389000	1423138000
Dustin_humanize	LLGoFullLTONoGlobalDCE	38061209491	44128908000	1277530000
Uber_zap	LLGoDeadcodeDrop	15017697384	42543720000	2376691000
XGo	LLGoNoLTO	16973078608	41564896000	2509161000
Uber_zap	LLGoNoLTO	14113968678	40386373000	2269010000
Gorm_schema	LLGoDeadcodeDrop	11657172254	35178957000	1437765000
Gorm_schema	LLGoNoLTO	11444967303	34529800000	1543357000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	26981096769	33081726000	1287733000
Dustin_humanize	LLGoFullLTOGlobalDCE	26964586406	33004480000	1299738000
K8s_workqueue	LLGoDeadcodeDrop	10957729603	29134738000	2186397000
Aws_restjson	LLGoNoLTO	11033250867	28507355000	2129738000
K8s_workqueue	LLGoNoLTO	9285666585	23731891000	2005914000
Toml	LLGoDeadcodeDrop	7344146853	18840670000	1270540000
Etcdctl	Go	5869612168	16179522000	845782000
Toml	LLGoNoLTO	5214168552	12388762000	1287983000
Dustin_humanize	LLGoNoLTO	4964420714	11214303000	1123183000
Dustin_humanize	LLGoDeadcodeDrop	5036820822	11194634000	1126002000
XGo	Go	3454082065	8511154000	489406000
Aws_restjson	Go	2004860642	4769264000	394633000
Gorm_schema	Go	1547769417	3413815000	231215000
Uber_zap	Go	1359092714	2857445000	206870000
K8s_workqueue	Go	843069273	1665561000	179854000
Dustin_humanize	Go	330406595	556946000	95531000
Toml	Go	298219160	421747000	116362000
