benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTONoGlobalDCE	286327212784	429561026000	7658516000
IXGo	LLGoFullLTOGlobalDCE	271993826924	377289544000	5713962000
IXGo	LLGoFullLTOGlobalDCEPlugin	269652221471	370426004000	5568206000
Etcdctl	LLGoFullLTONoGlobalDCE	209306624681	310321240000	3970227000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	206166997537	309879197000	4098118000
Etcdctl	LLGoFullLTOGlobalDCE	205201939037	308930555000	4369140000
XGo	LLGoFullLTOGlobalDCEPlugin	161378930477	258155042000	4353828000
IXGo	LLGoDeadcodeDrop	80111103958	248030807000	4784464000
Etcdctl	LLGoDeadcodeDrop	70460594070	236280185000	5226143000
XGo	LLGoDeadcodeDrop	58407998810	192777773000	4056699000
K8s_workqueue	LLGoFullLTONoGlobalDCE	116338229043	189914639000	4584419000
XGo	LLGoFullLTOGlobalDCE	135229697989	184398060000	3266592000
Uber_zap	LLGoFullLTOGlobalDCE	93363461527	167122770000	3450570000
XGo	LLGoFullLTONoGlobalDCE	132024292152	162617573000	3185835000
Aws_restjson	LLGoFullLTONoGlobalDCE	112739983777	140252714000	2737909000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	96337891494	126243221000	2632084000
Aws_restjson	LLGoFullLTOGlobalDCE	95389700020	124441269000	2655713000
Uber_zap	LLGoFullLTONoGlobalDCE	88605731460	108743885000	2515966000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	81263549085	98700290000	2398889000
Toml	LLGoDeadcodeDrop	34446996924	97895738000	2351041000
K8s_workqueue	LLGoFullLTOGlobalDCE	79543831133	95103349000	2417928000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	69993814526	91138665000	2404759000
Etcdctl	LLGoNoLTO	30219286546	84720708000	3055116000
Aws_restjson	LLGoDeadcodeDrop	32225838223	75054824000	2858653000
IXGo	LLGoNoLTO	23543776670	64837947000	3635974000
Gorm_schema	LLGoFullLTOGlobalDCE	50099452168	65766458000	1593376000
Gorm_schema	LLGoFullLTONoGlobalDCE	51241786579	64948812000	1601955000
Toml	LLGoFullLTONoGlobalDCE	46960532269	56901224000	1441351000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	38786086124	54497154000	1576087000
Uber_zap	LLGoDeadcodeDrop	16706378413	48868227000	2380886000
Toml	LLGoFullLTOGlobalDCEPlugin	35382047475	44753894000	1396073000
Toml	LLGoFullLTOGlobalDCE	35262487329	44453878000	1430202000
XGo	LLGoNoLTO	16466665398	40593160000	2409409000
Dustin_humanize	LLGoFullLTONoGlobalDCE	36028749887	41653342000	1242886000
Gorm_schema	LLGoDeadcodeDrop	12656021707	38021899000	1482065000
IXGo	Go	11783602230	36513489000	2421101000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	26175197746	32516777000	1323996000
Dustin_humanize	LLGoFullLTOGlobalDCE	26116736095	32040449000	1249005000
K8s_workqueue	LLGoNoLTO	10454138075	28190608000	2215197000
K8s_workqueue	LLGoDeadcodeDrop	10546134127	28068583000	2145261000
Aws_restjson	LLGoNoLTO	10716055522	27630240000	2084621000
Uber_zap	LLGoNoLTO	9733473991	25320298000	2019614000
Etcdctl	Go	5648702431	15753909000	798523000
Gorm_schema	LLGoNoLTO	5872886567	14683704000	1298344000
Toml	LLGoNoLTO	5063127840	12217358000	1215690000
Dustin_humanize	LLGoNoLTO	4812923906	10920549000	1095286000
Dustin_humanize	LLGoDeadcodeDrop	4886610216	10791605000	1096876000
XGo	Go	2539903004	6022220000	372646000
Gorm_schema	Go	2195507973	5378952000	357909000
Aws_restjson	Go	1921766697	4687250000	406976000
Uber_zap	Go	1307170264	2758358000	219283000
K8s_workqueue	Go	815672577	1603662000	185275000
Dustin_humanize	Go	318255806	526974000	111062000
Toml	Go	304966146	449552000	105454000
