benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCEPlugin	430284921449	630212257000	6551595000
IXGo	LLGoFullLTONoGlobalDCE	421241810228	618736741000	6322277000
IXGo	LLGoFullLTOGlobalDCE	397995768339	585283808000	6519040000
IXGo	LLGoNoLTO	130120057236	350970151000	5598358000
IXGo	LLGoDeadcodeDrop	125886286669	349821083000	5743730000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	168451768224	287227318000	4859691000
Etcdctl	LLGoFullLTONoGlobalDCE	167912836692	283432561000	4949785000
Etcdctl	LLGoFullLTOGlobalDCE	166113363513	281600172000	4693906000
Etcdctl	LLGoNoLTO	71347563901	214906484000	4308049000
Etcdctl	LLGoDeadcodeDrop	71623815524	215033599000	4068355000
XGo	LLGoFullLTOGlobalDCEPlugin	127496173716	178684350000	3224939000
XGo	LLGoFullLTOGlobalDCE	124459332871	174534349000	3244782000
XGo	LLGoFullLTONoGlobalDCE	123707562050	172539249000	3053144000
Aws_restjson	LLGoFullLTONoGlobalDCE	116020478214	148531894000	2132343000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	106966031733	140390474000	2095165000
Aws_restjson	LLGoFullLTOGlobalDCE	101885188450	135564011000	2269693000
Uber_zap	LLGoFullLTONoGlobalDCE	84595017365	108065786000	1752292000
XGo	LLGoDeadcodeDrop	42267914821	105658566000	2793822000
XGo	LLGoNoLTO	41517774549	103543330000	2571288000
K8s_workqueue	LLGoFullLTONoGlobalDCE	82377033590	103148086000	1683553000
K8s_workqueue	LLGoFullLTOGlobalDCE	81095759811	102100722000	1748769000
Uber_zap	LLGoFullLTOGlobalDCE	75003267563	99383089000	1630930000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	74173005909	98415550000	1666403000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	67972623121	89662767000	1612109000
Aws_restjson	LLGoDeadcodeDrop	39668507273	80059475000	1953461000
Aws_restjson	LLGoNoLTO	38401746880	77445356000	1997653000
Gorm_schema	LLGoFullLTONoGlobalDCE	47750392347	64899872000	1247437000
Gorm_schema	LLGoFullLTOGlobalDCE	46041703601	63290285000	1282206000
Uber_zap	LLGoDeadcodeDrop	25415863716	55998340000	1511421000
Uber_zap	LLGoNoLTO	24966171266	54601463000	1319282000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	36343361171	53887912000	1237547000
Toml	LLGoFullLTONoGlobalDCE	42804572809	53115478000	1037497000
K8s_workqueue	LLGoDeadcodeDrop	23453311744	48664251000	1457022000
K8s_workqueue	LLGoNoLTO	22864171120	47225268000	1327059000
IXGo	Go	13130788641	42829318000	3027273000
Toml	LLGoFullLTOGlobalDCEPlugin	33214633167	43668328000	936593000
Toml	LLGoFullLTOGlobalDCE	32988842502	43518336000	910101000
Gorm_schema	LLGoDeadcodeDrop	12838864817	35828753000	1167979000
Gorm_schema	LLGoNoLTO	12343763250	34518146000	1016574000
Dustin_humanize	LLGoFullLTONoGlobalDCE	26748177364	32946876000	779144000
Etcdctl	Go	10094872231	31230502000	1928842000
Dustin_humanize	LLGoFullLTOGlobalDCE	17939203362	24313564000	704515000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	17694120738	24046571000	710954000
Toml	LLGoNoLTO	8087725670	21249344000	829970000
Toml	LLGoDeadcodeDrop	8018252606	21025475000	781895000
XGo	Go	5521754063	17987484000	1088517000
Dustin_humanize	LLGoDeadcodeDrop	5432511935	11811610000	613747000
Dustin_humanize	LLGoNoLTO	5295392695	11724166000	625810000
Aws_restjson	Go	3252978700	7362351000	684924000
Gorm_schema	Go	2182854667	5396946000	382942000
Uber_zap	Go	2102678284	4986518000	407098000
K8s_workqueue	Go	1657068606	4244291000	456456000
Toml	Go	910378151	1794385000	237528000
Dustin_humanize	Go	380589923	645476000	160538000
