benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCE	444530487634	459239432000	9286838000
IXGo	LLGoFullLTOGlobalDCEPlugin	435653428002	461826087000	10148528000
IXGo	LLGoFullLTONoGlobalDCE	433973249433	457393705000	9232236000
IXGo	LLGoNoLTO	352812019029	385767590000	18998870000
Etcdctl	LLGoFullLTONoGlobalDCE	285554425056	315513413000	5394481000
Etcdctl	LLGoFullLTOGlobalDCE	277684636954	329777119000	6849852000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	270754166905	302647798000	5379352000
Aws_restjson	LLGoFullLTONoGlobalDCE	241457938664	232732210000	4966531000
XGo	LLGoFullLTONoGlobalDCE	230461314968	241091096000	4986753000
XGo	LLGoNoLTO	213796283617	219892806000	10653022000
XGo	LLGoFullLTOGlobalDCE	204104932265	212672888000	4760482000
Etcdctl	LLGoNoLTO	198809426564	215439389000	9705904000
Aws_restjson	LLGoFullLTOGlobalDCE	192364047652	213036856000	6776996000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	159637070191	157456882000	4180100000
XGo	LLGoFullLTOGlobalDCEPlugin	153056069201	173993780000	3507462000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	145813467225	151978753000	3411781000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	139491284529	136133552000	3207256000
Gorm_schema	LLGoFullLTOGlobalDCE	119962993822	104537137000	2408824000
K8s_workqueue	LLGoFullLTOGlobalDCE	116634623019	120645730000	2950329000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	107026158481	86663952000	3806162000
Uber_zap	LLGoFullLTONoGlobalDCE	105320248657	116958965000	2627984000
Toml	LLGoFullLTONoGlobalDCE	98021542147	98253967000	4216289000
Aws_restjson	LLGoNoLTO	93778099895	94945463000	4650047000
K8s_workqueue	LLGoFullLTONoGlobalDCE	92794938841	103612142000	2333085000
Uber_zap	LLGoFullLTOGlobalDCE	82243496608	94307129000	2442439000
Toml	LLGoNoLTO	79028927007	79465864000	7260312000
Gorm_schema	LLGoFullLTONoGlobalDCE	63500280313	69979322000	1760613000
Dustin_humanize	LLGoFullLTONoGlobalDCE	60604731616	57912390000	1516723000
Gorm_schema	LLGoNoLTO	48282468466	43587973000	2638395000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	47590504497	53803532000	1723471000
Toml	LLGoFullLTOGlobalDCEPlugin	46557606104	49699487000	1468792000
Dustin_humanize	LLGoFullLTOGlobalDCE	45963027753	44762460000	1486652000
Toml	LLGoFullLTOGlobalDCE	44800880165	47937449000	1459911000
K8s_workqueue	LLGoNoLTO	43560772084	44461842000	2928535000
Uber_zap	LLGoNoLTO	32018152109	44470589000	2555896000
IXGo	Go	25877166762	39460084000	2400353000
Etcdctl	Go	7833764611	16903209000	868104000
Dustin_humanize	LLGoNoLTO	7770796356	12333568000	1121717000
XGo	Go	7438963149	7261988000	486261000
Gorm_schema	Go	7433416819	6341851000	396212000
Uber_zap	Go	2168558195	3158735000	235840000
Dustin_humanize	Go	2027359709	849341000	125377000
Aws_restjson	Go	2012420510	4620920000	410143000
K8s_workqueue	Go	985175325	1660715000	206194000
Toml	Go	555148812	560177000	115368000
