benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCEPlugin	348228323866	396605252000	8496701000
IXGo	LLGoFullLTOGlobalDCE	319620537571	354584963000	6114917000
IXGo	LLGoFullLTONoGlobalDCE	318555847452	351110124000	6045790000
Etcdctl	LLGoFullLTOGlobalDCE	277501476385	320358101000	6530198000
Etcdctl	LLGoFullLTONoGlobalDCE	256807872689	283353237000	4111359000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	254459856492	282927620000	4277524000
XGo	LLGoFullLTONoGlobalDCE	223521043203	241326358000	6654463000
IXGo	LLGoNoLTO	217542919651	245171962000	9621665000
Etcdctl	LLGoNoLTO	164259664605	182202456000	6808853000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	156696677692	153274234000	4795310000
XGo	LLGoFullLTOGlobalDCE	150712926529	157397657000	3342518000
Aws_restjson	LLGoFullLTONoGlobalDCE	127379768111	135700836000	2735289000
XGo	LLGoFullLTOGlobalDCEPlugin	121821618875	137049341000	2847795000
XGo	LLGoNoLTO	119569215557	130023514000	5961678000
Aws_restjson	LLGoFullLTOGlobalDCE	118757288012	122232698000	2564712000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	103605363768	109690675000	2333567000
Uber_zap	LLGoFullLTONoGlobalDCE	99731507062	101566404000	2435607000
Toml	LLGoNoLTO	98045777691	84234761000	5732048000
K8s_workqueue	LLGoFullLTONoGlobalDCE	94224080406	95027278000	2069865000
Dustin_humanize	LLGoFullLTOGlobalDCE	70330937217	59836127000	2753323000
Aws_restjson	LLGoNoLTO	69785814457	69392993000	2853570000
K8s_workqueue	LLGoFullLTOGlobalDCE	69001408459	78597097000	1798748000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	68036077832	74327985000	1810928000
Uber_zap	LLGoFullLTOGlobalDCE	59042234113	69350762000	1825962000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	56207835769	53476920000	1688140000
Toml	LLGoFullLTOGlobalDCEPlugin	47663025118	42343986000	1187820000
Gorm_schema	LLGoFullLTONoGlobalDCE	46980649418	52433817000	1322138000
Gorm_schema	LLGoFullLTOGlobalDCE	45445196522	49091004000	1382786000
Toml	LLGoFullLTONoGlobalDCE	43338355109	46676432000	1122335000
Gorm_schema	LLGoNoLTO	40689472253	34174395000	1783994000
Uber_zap	LLGoNoLTO	38079541190	42100654000	2196472000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	32573473019	30400704000	1053255000
Dustin_humanize	LLGoFullLTONoGlobalDCE	31844971413	34474672000	1013875000
K8s_workqueue	LLGoNoLTO	31322401785	31148312000	1926722000
Toml	LLGoFullLTOGlobalDCE	30716720741	34409844000	1008729000
IXGo	Go	17310373029	25899565000	2117635000
Dustin_humanize	LLGoNoLTO	13835850470	11883062000	963815000
Etcdctl	Go	8843862664	12255852000	797062000
XGo	Go	5460531495	5036492000	359267000
Aws_restjson	Go	2286202398	3555354000	336117000
Toml	Go	2217697183	570357000	109464000
Gorm_schema	Go	1106243841	2242785000	151646000
Uber_zap	Go	929463001	1931240000	171270000
K8s_workqueue	Go	576647852	1103934000	143031000
Dustin_humanize	Go	236201685	390639000	67950000
