benchmark	configuration	real-ns	user-ns	sys-ns
Etcdctl	LLGoFullLTONoGlobalDCE	216286259966	339933243000	5836486000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	208440223806	311305424000	4154415000
Etcdctl	LLGoFullLTOGlobalDCE	206260668003	310819783000	4077457000
XGo	LLGoFullLTONoGlobalDCE	174867116306	285786698000	5902474000
Etcdctl	LLGoDeadcodeDrop	61202656941	204227979000	3569666000
Etcdctl	LLGoNoLTO	59071060739	199265095000	3568744000
Uber_zap	LLGoNoLTO	57616267361	184991108000	3793700000
XGo	LLGoFullLTOGlobalDCE	134996143299	181903640000	3178399000
XGo	LLGoFullLTOGlobalDCEPlugin	132168711817	179404305000	3207672000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	104212261375	172290297000	3804339000
K8s_workqueue	LLGoFullLTOGlobalDCE	104323637310	170403092000	3630938000
Aws_restjson	LLGoFullLTONoGlobalDCE	110973616553	138812954000	2747483000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	96266514564	127788424000	2727637000
Aws_restjson	LLGoFullLTOGlobalDCE	93714768760	124578735000	2577534000
Uber_zap	LLGoFullLTONoGlobalDCE	90537724198	112443725000	2482676000
XGo	LLGoNoLTO	32962277854	101730383000	2585308000
XGo	LLGoDeadcodeDrop	33211951009	101012988000	2676968000
K8s_workqueue	LLGoFullLTONoGlobalDCE	79982562841	94856993000	2390569000
Toml	LLGoDeadcodeDrop	32589679353	93888533000	2331556000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	71130692187	92561593000	2383560000
Uber_zap	LLGoFullLTOGlobalDCE	70197760371	91410546000	2471442000
K8s_workqueue	LLGoDeadcodeDrop	28009065610	84437045000	2377644000
Aws_restjson	LLGoNoLTO	27816045949	69060002000	2615718000
Gorm_schema	LLGoFullLTONoGlobalDCE	52763442788	68533459000	1682135000
Aws_restjson	LLGoDeadcodeDrop	26245141697	66316846000	2409133000
Gorm_schema	LLGoFullLTOGlobalDCE	49660814848	65072213000	1605753000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	38583909033	54242119000	1534286000
Toml	LLGoFullLTONoGlobalDCE	44833402273	53727556000	1454938000
Toml	LLGoFullLTOGlobalDCE	36247684703	46912091000	1461952000
Toml	LLGoFullLTOGlobalDCEPlugin	34854578162	44182267000	1457057000
Uber_zap	LLGoDeadcodeDrop	14431202222	41692172000	2124930000
Dustin_humanize	LLGoFullLTONoGlobalDCE	36339007624	42175974000	1285517000
Gorm_schema	LLGoDeadcodeDrop	11299573615	34082890000	1381810000
Gorm_schema	LLGoNoLTO	11128741791	33090023000	1430504000
Dustin_humanize	LLGoFullLTOGlobalDCE	26285150067	32211533000	1220112000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	26097064218	32044113000	1232658000
K8s_workqueue	LLGoNoLTO	8995963203	22673297000	1912160000
Etcdctl	Go	5592256357	15885919000	744416000
Toml	LLGoNoLTO	4989446075	11986203000	1223672000
Dustin_humanize	LLGoNoLTO	4960076598	11195393000	1166629000
Dustin_humanize	LLGoDeadcodeDrop	4843506413	10753064000	1119729000
XGo	Go	3543266846	8702191000	513582000
Aws_restjson	Go	3007851389	6998832000	516309000
Gorm_schema	Go	2102412090	5226775000	285806000
Uber_zap	Go	1302562420	2767624000	202348000
K8s_workqueue	Go	825045182	1611120000	189322000
Dustin_humanize	Go	315601312	547297000	95363000
Toml	Go	297846594	425041000	114020000
