benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTONoGlobalDCE	345099188370	520519709000	5871749000
IXGo	LLGoFullLTOGlobalDCEPlugin	333555491924	484822636000	4826601000
IXGo	LLGoFullLTOGlobalDCE	331148546587	465020933000	4916620000
IXGo	LLGoDeadcodeDrop	93079076237	267476095000	3950211000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	148565874833	219717525000	3691151000
Etcdctl	LLGoFullLTONoGlobalDCE	149488583331	219438497000	3621219000
Etcdctl	LLGoFullLTOGlobalDCE	147529946365	219121321000	3557850000
XGo	LLGoFullLTOGlobalDCE	134422428791	206520830000	3832553000
Etcdctl	LLGoDeadcodeDrop	51506702826	145738824000	3051074000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	93304009586	145231323000	3254833000
Uber_zap	LLGoDeadcodeDrop	53333443556	143651869000	3052940000
XGo	LLGoFullLTONoGlobalDCE	115172852917	143813172000	2684772000
XGo	LLGoFullLTOGlobalDCEPlugin	113783460655	143195684000	2784252000
Aws_restjson	LLGoFullLTONoGlobalDCE	98999290583	118800180000	2394263000
Aws_restjson	LLGoFullLTOGlobalDCE	85294049132	107002880000	2360475000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	85350757504	106880717000	2442768000
Uber_zap	LLGoFullLTONoGlobalDCE	78525340300	92877719000	2140727000
K8s_workqueue	LLGoFullLTOGlobalDCE	75858233822	89652975000	2127002000
K8s_workqueue	LLGoFullLTONoGlobalDCE	75690840271	88382212000	2046054000
XGo	LLGoDeadcodeDrop	34306705172	87523845000	2268368000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	67593761351	82616238000	2051081000
Uber_zap	LLGoFullLTOGlobalDCE	67460543667	82349441000	2091391000
Etcdctl	LLGoNoLTO	31168142762	73675978000	2606658000
Aws_restjson	LLGoDeadcodeDrop	29863454332	58414189000	2048704000
IXGo	LLGoNoLTO	26543305094	57036907000	2855109000
Gorm_schema	LLGoFullLTONoGlobalDCE	43156546937	52868392000	1414390000
Gorm_schema	LLGoFullLTOGlobalDCE	41743730043	51412612000	1369363000
Toml	LLGoFullLTONoGlobalDCE	38883052973	46452288000	1248401000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	32610942380	43431922000	1331862000
XGo	LLGoNoLTO	21054381883	39567662000	1986992000
Toml	LLGoFullLTOGlobalDCEPlugin	30583921751	37028803000	1188989000
Toml	LLGoFullLTOGlobalDCE	30499782868	36842995000	1249093000
K8s_workqueue	LLGoDeadcodeDrop	17345511758	32969806000	1839608000
Dustin_humanize	LLGoFullLTONoGlobalDCE	28101891123	32131786000	1107653000
Aws_restjson	LLGoNoLTO	16398462226	29848804000	1801562000
Uber_zap	LLGoNoLTO	15458108606	26945111000	1682677000
Gorm_schema	LLGoDeadcodeDrop	9514554752	26417762000	1197916000
K8s_workqueue	LLGoNoLTO	15182740602	26015876000	1570762000
Dustin_humanize	LLGoFullLTOGlobalDCE	19308322441	23365540000	1079189000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	19332549556	23360167000	1024857000
Toml	LLGoDeadcodeDrop	6214710866	14506034000	1087197000
Gorm_schema	LLGoNoLTO	5217222281	11270032000	1106417000
Toml	LLGoNoLTO	4215330150	8935899000	1067235000
Dustin_humanize	LLGoNoLTO	4032003716	8091045000	955643000
Dustin_humanize	LLGoDeadcodeDrop	4088012675	8064859000	968591000
IXGo	Go	1181107081	1416853000	261252000
Etcdctl	Go	619909966	919996000	147812000
XGo	Go	547711303	729733000	142524000
K8s_workqueue	Go	372573815	547627000	173047000
Aws_restjson	Go	393094808	532863000	119632000
Uber_zap	Go	313603166	447012000	93520000
Gorm_schema	Go	232800133	355559000	72992000
Toml	Go	247445690	334527000	84147000
Dustin_humanize	Go	164459355	215933000	64971000
