benchmark	configuration	real-ns	user-ns	sys-ns
Aws_restjson	LLGoFullLTONoGlobalDCE	216147268816	221302630000	5383937000
K8s_workqueue	LLGoNoLTO	170173697260	165609051000	11764204000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	141648069133	143079469000	3115044000
K8s_workqueue	LLGoFullLTOGlobalDCE	135057352316	133065168000	2676474000
Aws_restjson	LLGoFullLTOGlobalDCE	134625667030	140440457000	3145101000
Toml	LLGoFullLTONoGlobalDCE	111971710592	109023787000	3551319000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	111531053063	121933500000	3200782000
K8s_workqueue	LLGoFullLTONoGlobalDCE	111309496811	115966303000	2771699000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	109869271313	112709074000	2744162000
Uber_zap	LLGoFullLTONoGlobalDCE	104557629323	116607654000	2531714000
Gorm_schema	LLGoFullLTONoGlobalDCE	100717100194	95209134000	2530524000
Uber_zap	LLGoFullLTOGlobalDCE	93431636244	99216644000	2527852000
Toml	LLGoFullLTOGlobalDCEPlugin	71757711088	64969580000	1666347000
Gorm_schema	LLGoFullLTOGlobalDCE	61975529460	67052314000	1827078000
Aws_restjson	LLGoNoLTO	61151950165	74191234000	3661355000
Toml	LLGoFullLTOGlobalDCE	54821761475	58508931000	1841022000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	50270055845	53674274000	2752269000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	49442490880	56127557000	1373496000
Dustin_humanize	LLGoFullLTONoGlobalDCE	45749071102	48009964000	1365546000
Gorm_schema	LLGoNoLTO	43131853121	42440491000	2498146000
Uber_zap	LLGoNoLTO	37555809561	47233291000	2764443000
Dustin_humanize	LLGoFullLTOGlobalDCE	30969293390	34396674000	1355882000
Toml	LLGoNoLTO	27942282038	26012986000	1786721000
Dustin_humanize	LLGoNoLTO	17428083437	15603544000	1400050000
Uber_zap	Go	819598689	660741000	117216000
Gorm_schema	Go	786499555	607815000	94292000
Aws_restjson	Go	714620465	923403000	206638000
K8s_workqueue	Go	705696082	692346000	124682000
Toml	Go	536515264	511849000	105962000
Dustin_humanize	Go	320795283	321987000	83692000
