benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCEPlugin	445062980237	642644747000	6703994000
IXGo	LLGoFullLTONoGlobalDCE	435720279128	641090869000	6465839000
IXGo	LLGoFullLTOGlobalDCE	436761735027	640109042000	6762360000
IXGo	LLGoDeadcodeDrop	144158910410	386505997000	5775018000
IXGo	LLGoNoLTO	129747947276	357402069000	5775542000
Etcdctl	LLGoFullLTONoGlobalDCE	172068578142	287517378000	4794069000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	169908336723	286069867000	4820122000
Etcdctl	LLGoFullLTOGlobalDCE	168342166401	283605416000	4770453000
Etcdctl	LLGoDeadcodeDrop	73162401061	215673617000	4222090000
Etcdctl	LLGoNoLTO	72878596572	214486228000	4131800000
XGo	LLGoFullLTONoGlobalDCE	128467997829	177753415000	3215470000
XGo	LLGoFullLTOGlobalDCE	126935269336	177079414000	3228304000
XGo	LLGoFullLTOGlobalDCEPlugin	126796508021	177116663000	3169945000
Aws_restjson	LLGoFullLTONoGlobalDCE	120473603944	153090925000	2169534000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	109152655529	144040326000	2353999000
Aws_restjson	LLGoFullLTOGlobalDCE	108488163305	142338090000	2195503000
Uber_zap	LLGoFullLTONoGlobalDCE	86174961877	109684286000	1720999000
XGo	LLGoDeadcodeDrop	43173807318	106918221000	2576015000
XGo	LLGoNoLTO	41882028972	103996826000	2605442000
K8s_workqueue	LLGoFullLTONoGlobalDCE	82109944840	103248298000	1829428000
K8s_workqueue	LLGoFullLTOGlobalDCE	81891918504	103026598000	1804149000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	75258931891	99851178000	1623662000
Uber_zap	LLGoFullLTOGlobalDCE	75367050747	99177155000	1628148000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	68202844727	90015091000	1605178000
Aws_restjson	LLGoDeadcodeDrop	39817027157	81134725000	1926003000
Aws_restjson	LLGoNoLTO	39081814483	80627369000	1898778000
Gorm_schema	LLGoFullLTOGlobalDCE	47062805975	64409928000	1313154000
Gorm_schema	LLGoFullLTONoGlobalDCE	47281301457	64337896000	1193714000
Uber_zap	LLGoDeadcodeDrop	26646014816	57375973000	1420950000
Uber_zap	LLGoNoLTO	25073918460	54820410000	1417667000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	36358077208	53898632000	1269905000
Toml	LLGoFullLTONoGlobalDCE	41847729730	52078404000	1048165000
K8s_workqueue	LLGoDeadcodeDrop	23603519201	48148759000	1379303000
K8s_workqueue	LLGoNoLTO	23113078202	47420022000	1390261000
IXGo	Go	13375884834	42956142000	2963577000
Toml	LLGoFullLTOGlobalDCEPlugin	33611209052	44324354000	971551000
Toml	LLGoFullLTOGlobalDCE	33504220062	44068433000	910346000
Gorm_schema	LLGoDeadcodeDrop	12840811739	35560118000	1141148000
Gorm_schema	LLGoNoLTO	12476060688	34528313000	1087582000
Dustin_humanize	LLGoFullLTONoGlobalDCE	26989622264	32869435000	770286000
Etcdctl	Go	10071445795	31498810000	2037560000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	18092975729	24747596000	712333000
Dustin_humanize	LLGoFullLTOGlobalDCE	17847220897	24043180000	754133000
Toml	LLGoDeadcodeDrop	8416483757	21363840000	888173000
Toml	LLGoNoLTO	8203250278	20954638000	842608000
XGo	Go	5632456741	18080918000	1119415000
Dustin_humanize	LLGoDeadcodeDrop	5450890974	11824821000	633854000
Dustin_humanize	LLGoNoLTO	5326351193	11711705000	595435000
Aws_restjson	Go	3210369317	7325999000	652335000
Gorm_schema	Go	2173465814	5400817000	355719000
Uber_zap	Go	2125451269	5004353000	406247000
K8s_workqueue	Go	1672057031	4323186000	413613000
Toml	Go	918734642	1802889000	223793000
Dustin_humanize	Go	383870362	664648000	155271000
