benchmark	configuration	real-ns	user-ns	sys-ns
Etcdctl	LLGoFullLTOGlobalDCEPlugin	235678565384	413619318000	6698806000
Etcdctl	LLGoFullLTOGlobalDCE	208067951726	310664123000	4254795000
Etcdctl	LLGoFullLTONoGlobalDCE	205737183234	309480212000	4105887000
Aws_restjson	LLGoDeadcodeDrop	73818345391	233029293000	4688150000
Etcdctl	LLGoDeadcodeDrop	61063326791	203080491000	3550094000
Etcdctl	LLGoNoLTO	59690517697	201177884000	3602055000
XGo	LLGoFullLTONoGlobalDCE	137730911654	184270653000	3132601000
XGo	LLGoFullLTOGlobalDCEPlugin	134837125156	182978502000	3319609000
Uber_zap	LLGoFullLTOGlobalDCE	92800366550	167263853000	3492175000
XGo	LLGoFullLTOGlobalDCE	130005135164	162895891000	3256955000
Aws_restjson	LLGoFullLTONoGlobalDCE	120578815027	151905998000	2975154000
K8s_workqueue	LLGoFullLTONoGlobalDCE	94938124373	142372141000	3146908000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	101619477897	132104762000	2751891000
XGo	LLGoNoLTO	39394944083	121962999000	3682246000
Aws_restjson	LLGoFullLTOGlobalDCE	94070324516	122543789000	2705239000
Uber_zap	LLGoFullLTONoGlobalDCE	91523569811	112681337000	2686057000
XGo	LLGoDeadcodeDrop	33832068617	103959661000	2704818000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	81004613534	99880932000	2508908000
K8s_workqueue	LLGoFullLTOGlobalDCE	81459411162	97484510000	2496845000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	69592307582	90929560000	2459670000
Dustin_humanize	LLGoFullLTONoGlobalDCE	46307525574	68316191000	1897700000
Gorm_schema	LLGoFullLTONoGlobalDCE	52108011867	68139669000	1615879000
Gorm_schema	LLGoFullLTOGlobalDCE	48922232799	63051493000	1616466000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	40016780023	57840387000	1680562000
Toml	LLGoFullLTONoGlobalDCE	45255772136	55856754000	1548387000
Uber_zap	LLGoDeadcodeDrop	16292725048	47347257000	2378399000
Toml	LLGoFullLTOGlobalDCEPlugin	35339811437	44983159000	1449769000
Toml	LLGoFullLTOGlobalDCE	35459166690	44930886000	1431614000
Gorm_schema	LLGoDeadcodeDrop	11337650889	34405693000	1401602000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	25852319468	31985877000	1233952000
Dustin_humanize	LLGoFullLTOGlobalDCE	25866814690	31716359000	1274131000
K8s_workqueue	LLGoDeadcodeDrop	10709798694	28759328000	2091303000
Aws_restjson	LLGoNoLTO	10860012012	28319556000	2130822000
Uber_zap	LLGoNoLTO	9924613227	25355887000	2037433000
K8s_workqueue	LLGoNoLTO	9133261211	22931770000	2010109000
Toml	LLGoDeadcodeDrop	7403461353	18666036000	1309443000
Toml	LLGoNoLTO	7181541303	18623095000	1259644000
Etcdctl	Go	5676331598	15950761000	809743000
Gorm_schema	LLGoNoLTO	6022584472	14841347000	1429835000
Dustin_humanize	LLGoDeadcodeDrop	4963726742	10930066000	1201266000
Dustin_humanize	LLGoNoLTO	4813231050	10721597000	1112316000
XGo	Go	3405491756	8448420000	474805000
Gorm_schema	Go	2098222340	5232788000	327492000
Aws_restjson	Go	1913721276	4674621000	415413000
Uber_zap	Go	1328612024	2816558000	236837000
K8s_workqueue	Go	871243399	1718316000	172378000
Dustin_humanize	Go	373774557	657860000	145191000
Toml	Go	302054682	444980000	97050000
