benchmark	configuration	real-ns	user-ns	sys-ns
IXGo	LLGoFullLTOGlobalDCEPlugin	527226762214	743744562000	7560832000
IXGo	LLGoFullLTONoGlobalDCE	464957000740	655344877000	7258056000
IXGo	LLGoFullLTOGlobalDCE	459509482314	645734330000	7322746000
IXGo	LLGoDeadcodeDrop	148067796168	397789388000	6560940000
IXGo	LLGoNoLTO	135423357046	359859075000	6287263000
Etcdctl	LLGoFullLTOGlobalDCEPlugin	171809605682	282659693000	5342175000
Etcdctl	LLGoFullLTONoGlobalDCE	168855132150	276613377000	5231620000
Etcdctl	LLGoFullLTOGlobalDCE	163845492482	271700753000	5314032000
Etcdctl	LLGoDeadcodeDrop	68752075902	203281378000	4666632000
Etcdctl	LLGoNoLTO	67324964615	198921644000	4460089000
XGo	LLGoFullLTOGlobalDCE	127693494714	174645335000	3442057000
XGo	LLGoFullLTOGlobalDCEPlugin	125320994146	173046789000	3334414000
XGo	LLGoFullLTONoGlobalDCE	125159218507	171790721000	3392018000
Aws_restjson	LLGoFullLTONoGlobalDCE	120692069995	151066391000	2376639000
Aws_restjson	LLGoFullLTOGlobalDCE	118636610382	149708349000	2511903000
Aws_restjson	LLGoFullLTOGlobalDCEPlugin	104720611399	134974036000	2315267000
Uber_zap	LLGoFullLTONoGlobalDCE	82613262088	104574131000	1707266000
XGo	LLGoDeadcodeDrop	41833299257	101503124000	2883917000
K8s_workqueue	LLGoFullLTONoGlobalDCE	82299595393	102214714000	1779612000
Uber_zap	LLGoFullLTOGlobalDCE	76953573160	100373104000	1718663000
XGo	LLGoNoLTO	39868558016	98646668000	2875539000
K8s_workqueue	LLGoFullLTOGlobalDCE	79694763920	99498405000	1748653000
Uber_zap	LLGoFullLTOGlobalDCEPlugin	73369655433	96166733000	1772402000
K8s_workqueue	LLGoFullLTOGlobalDCEPlugin	68610621858	88656956000	1769141000
Aws_restjson	LLGoDeadcodeDrop	39025798256	77918750000	2021035000
Aws_restjson	LLGoNoLTO	40138219972	76598818000	2034788000
Gorm_schema	LLGoFullLTONoGlobalDCE	45104502335	60867905000	1324553000
Gorm_schema	LLGoFullLTOGlobalDCE	44561578099	60685603000	1325626000
Uber_zap	LLGoDeadcodeDrop	24887123239	54223135000	1596517000
Gorm_schema	LLGoFullLTOGlobalDCEPlugin	36223402405	52782241000	1320078000
Uber_zap	LLGoNoLTO	24261717133	51905132000	1504360000
Toml	LLGoFullLTONoGlobalDCE	41579841268	51387111000	1094846000
K8s_workqueue	LLGoNoLTO	22694416879	46035392000	1419797000
K8s_workqueue	LLGoDeadcodeDrop	23026331622	45913938000	1377969000
IXGo	Go	12697418454	40765405000	3227496000
Toml	LLGoFullLTOGlobalDCEPlugin	32380145735	42608008000	993576000
Toml	LLGoFullLTOGlobalDCE	31371519863	41101028000	978841000
Gorm_schema	LLGoDeadcodeDrop	12346795590	34129524000	1141010000
Dustin_humanize	LLGoFullLTONoGlobalDCE	27402357686	33004386000	806322000
Gorm_schema	LLGoNoLTO	11894216448	32548363000	1172416000
Etcdctl	Go	9772654544	30187496000	2251316000
Dustin_humanize	LLGoFullLTOGlobalDCEPlugin	18554101441	24447234000	791739000
Dustin_humanize	LLGoFullLTOGlobalDCE	17884820409	23721569000	775270000
Toml	LLGoDeadcodeDrop	8167520953	20688692000	850721000
Toml	LLGoNoLTO	7956310635	20299689000	933410000
XGo	Go	5684311153	17852321000	1307928000
Dustin_humanize	LLGoDeadcodeDrop	5278537859	11312700000	691584000
Dustin_humanize	LLGoNoLTO	5092597343	11211867000	588289000
Aws_restjson	Go	3194841893	7167807000	701560000
Gorm_schema	Go	2127325524	5130673000	414791000
Uber_zap	Go	2067819733	4811965000	442024000
K8s_workqueue	Go	1674232579	4161856000	519198000
Toml	Go	921497320	1751921000	248391000
Dustin_humanize	Go	377614317	643617000	153557000
