app	config	bytes	status
base64	Go	2275731	success
base64	TinyGo	96760	success
base64	LLGoNoLTO	1122086	success
base64	LLGoDeadcodeDrop	733005	success
base64	LLGoFullLTONoGlobalDCE	784252	success
base64	LLGoFullLTOGlobalDCE	587742	success
checksum	Go	2264417	success
checksum	TinyGo	92685	success
checksum	LLGoNoLTO	1112627	success
checksum	LLGoDeadcodeDrop	722332	success
checksum	LLGoFullLTONoGlobalDCE	773768	success
checksum	LLGoFullLTOGlobalDCE	575658	success
convolution	Go	2608089	success
convolution	TinyGo	201149	success
convolution	LLGoNoLTO	2177367	success
convolution	LLGoDeadcodeDrop	1504048	success
convolution	LLGoFullLTONoGlobalDCE	1533273	success
convolution	LLGoFullLTOGlobalDCE	1074264	success
fibonacci	Go	2230899	success
fibonacci	TinyGo	62386	success
fibonacci	LLGoNoLTO	985822	success
fibonacci	LLGoDeadcodeDrop	681385	success
fibonacci	LLGoFullLTONoGlobalDCE	503006	success
fibonacci	LLGoFullLTOGlobalDCE	473079	success
grep	Go	2848917	success
grep	TinyGo	303772	success
grep	LLGoNoLTO	1902113	success
grep	LLGoDeadcodeDrop	1427405	success
grep	LLGoFullLTONoGlobalDCE	1293894	success
grep	LLGoFullLTOGlobalDCE	1032108	success
glob	Go	2257634	success
glob	TinyGo	93153	success
glob	LLGoNoLTO	1531061	success
glob	LLGoDeadcodeDrop	1122978	success
glob	LLGoFullLTONoGlobalDCE	1000915	success
glob	LLGoFullLTOGlobalDCE	778184	success
json-roundtrip	Go	3314587	success
json-roundtrip	TinyGo	493590	success
json-roundtrip	LLGoNoLTO	3077608	success
json-roundtrip	LLGoDeadcodeDrop	2133556	success
json-roundtrip	LLGoFullLTONoGlobalDCE	2207931	success
json-roundtrip	LLGoFullLTOGlobalDCE	1613621	success
llimport	Go	8423078	success
llimport	TinyGo	null	failed
llimport	LLGoNoLTO	10346885	success
llimport	LLGoDeadcodeDrop	9435747	success
llimport	LLGoFullLTONoGlobalDCE	7438249	success
llimport	LLGoFullLTOGlobalDCE	6828751	success
path-report	Go	2381190	success
path-report	TinyGo	116889	success
path-report	LLGoNoLTO	1811409	success
path-report	LLGoDeadcodeDrop	1399177	success
path-report	LLGoFullLTONoGlobalDCE	1185646	success
path-report	LLGoFullLTOGlobalDCE	957661	success
sha256	Go	2780972	success
sha256	TinyGo	287449	success
sha256	LLGoNoLTO	2430742	success
sha256	LLGoDeadcodeDrop	1738813	success
sha256	LLGoFullLTONoGlobalDCE	1718468	success
sha256	LLGoFullLTOGlobalDCE	1258903	success
word-count	Go	2253620	success
word-count	TinyGo	86834	success
word-count	LLGoNoLTO	1498874	success
word-count	LLGoDeadcodeDrop	1099378	success
word-count	LLGoFullLTONoGlobalDCE	960113	success
word-count	LLGoFullLTOGlobalDCE	754835	success
